🕘️更新时间,#genre#
2026-08-20 12:37:15,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009

央视,#genre#
CCTV-1 综合,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
CCTV-1 综合,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV-1 综合,http://204.12.221.218:8181/3m1080p/cctv1.m3u8
CCTV-1 综合,http://bztv.tvbus.cc:8081/cdnlive/cctv1.m3u8
CCTV-1 综合,http://183.129.255.66:8480/hls/1/index.m3u8
CCTV-2 财经,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv2hd
CCTV-2 财经,http://113.90.154.189:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3 综艺,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009
CCTV-3 综艺,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd
CCTV-3 综艺,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV-3 综艺,http://107.150.60.122/live/cctv3hd.m3u8
CCTV-3 综艺,http://198.204.228.26/live/cctv3hd.m3u8
CCTV-4 中文国际,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV-4 中文国际,http://198.204.228.26/live/cctv4hd.m3u8
CCTV-4 中文国际,http://107.150.60.122/live/cctv4hd.m3u8
CCTV-4 中文国际,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd
CCTV-4 中文国际,http://173.208.212.130:8181/1080p/cctv4.m3u8
CCTV-5 体育,http://107.150.60.122/live/cctv5hd.m3u8
CCTV-5 体育,http://107.150.60.122/live/cctv5p.m3u8
CCTV-5 体育,http://207.56.13.146:81/cdnlive/cctv5.m3u8
CCTV-5 体育,http://113.90.154.189:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5 体育,http://112.30.73.119:229/tsfile/live/0005_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5+ 体育赛事,http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009
CCTV-6 电影,http://198.204.240.250:82/live/cctv6.m3u8
