分类: 央视, 名称: CCTV-1 综合, 有效: 7, IPv4: 19, IPv6: 0, 最小延迟: 38 ms, 最高速率: 7.99 MiB/s, 平均速率: 3.10 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.78, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV-2 财经, 有效: 2, IPv4: 7, IPv6: 0, 最小延迟: 37 ms, 最高速率: 8.37 MiB/s, 平均速率: 4.44 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视, 名称: CCTV-3 综艺, 有效: 8, IPv4: 16, IPv6: 0, 最小延迟: 27 ms, 最高速率: 23.88 MiB/s, 平均速率: 5.88 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.5, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV-4 中文国际, 有效: 7, IPv4: 13, IPv6: 0, 最小延迟: 27 ms, 最高速率: 5.37 MiB/s, 平均速率: 3.62 MiB/s, 最高分辨率: 1280x720, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV-5 体育, 有效: 6, IPv4: 30, IPv6: 0, 最小延迟: 25 ms, 最高速率: 11.50 MiB/s, 平均速率: 4.84 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV-5+ 体育赛事, 有效: 1, IPv4: 33, IPv6: 0, 最小延迟: 39 ms, 最高速率: 5.94 MiB/s, 平均速率: 5.94 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.57, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV-6 电影, 有效: 6, IPv4: 11, IPv6: 0, 最小延迟: 28 ms, 最高速率: 10.18 MiB/s, 平均速率: 6.27 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV-7 国防军事, 有效: 6, IPv4: 12, IPv6: 0, 最小延迟: 26 ms, 最高速率: 7.23 MiB/s, 平均速率: 4.77 MiB/s, 最高分辨率: 1280x720, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV-8 电视剧, 有效: 7, IPv4: 17, IPv6: 0, 最小延迟: 24 ms, 最高速率: 11.88 MiB/s, 平均速率: 5.43 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.89, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV-9 纪录, 有效: 7, IPv4: 14, IPv6: 0, 最小延迟: 26 ms, 最高速率: 12.76 MiB/s, 平均速率: 4.89 MiB/s, 最高分辨率: 1280x720, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV-10 科教, 有效: 7, IPv4: 15, IPv6: 0, 最小延迟: 24 ms, 最高速率: 17.65 MiB/s, 平均速率: 6.78 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV-11 戏曲, 有效: 6, IPv4: 30, IPv6: 0, 最小延迟: 26 ms, 最高速率: 22.68 MiB/s, 平均速率: 8.65 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV-12 社会与法, 有效: 6, IPv4: 28, IPv6: 0, 最小延迟: 27 ms, 最高速率: 16.58 MiB/s, 平均速率: 6.03 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 29.55, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV-13 新闻, 有效: 4, IPv4: 47, IPv6: 0, 最小延迟: 27 ms, 最高速率: 6.62 MiB/s, 平均速率: 4.48 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV-14 少儿, 有效: 8, IPv4: 19, IPv6: 0, 最小延迟: 37 ms, 最高速率: 5.87 MiB/s, 平均速率: 2.53 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.12, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV-15 音乐, 有效: 6, IPv4: 15, IPv6: 0, 最小延迟: 25 ms, 最高速率: 24.34 MiB/s, 平均速率: 16.07 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV-16 奥林匹克, 有效: 3, IPv4: 32, IPv6: 0, 最小延迟: 40 ms, 最高速率: 11.07 MiB/s, 平均速率: 5.75 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 31.82, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV-17 农业农村, 有效: 4, IPv4: 34, IPv6: 0, 最小延迟: 27 ms, 最高速率: 24.02 MiB/s, 平均速率: 12.45 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.5, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV-4 欧洲, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: 170 ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: CCTV-4 美洲, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: 169 ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: CCTV4K, 有效: 2, IPv4: 6, IPv6: 0, 最小延迟: 38 ms, 最高速率: 8.22 MiB/s, 平均速率: 5.58 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV8K, 有效: 1, IPv4: 4, IPv6: 0, 最小延迟: 26 ms, 最高速率: 7.08 MiB/s, 平均速率: 7.08 MiB/s, 最高分辨率: 1280x720, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CGTN, 有效: 5, IPv4: 24, IPv6: 0, 最小延迟: 112 ms, 最高速率: 5.96 MiB/s, 平均速率: 2.85 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CGTN俄语, 有效: 0, IPv4: 9, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: CGTN法语, 有效: 1, IPv4: 10, IPv6: 0, 最小延迟: 51 ms, 最高速率: 9.23 MiB/s, 平均速率: 9.23 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CGTN西语, 有效: 0, IPv4: 8, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: CGTN阿语, 有效: 0, IPv4: 10, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: CGTN纪录, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: 194 ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: CCTV风云剧场, 有效: 4, IPv4: 9, IPv6: 0, 最小延迟: 40 ms, 最高速率: 23.41 MiB/s, 平均速率: 10.91 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 31.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV第一剧场, 有效: 6, IPv4: 8, IPv6: 0, 最小延迟: 39 ms, 最高速率: 28.63 MiB/s, 平均速率: 10.27 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV怀旧剧场, 有效: 4, IPv4: 11, IPv6: 0, 最小延迟: 38 ms, 最高速率: 16.80 MiB/s, 平均速率: 9.95 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 31.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV世界地理, 有效: 2, IPv4: 6, IPv6: 0, 最小延迟: 26 ms, 最高速率: 16.50 MiB/s, 平均速率: 13.70 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV风云音乐, 有效: 5, IPv4: 12, IPv6: 0, 最小延迟: 38 ms, 最高速率: 25.57 MiB/s, 平均速率: 15.34 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.83, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV兵器科技, 有效: 5, IPv4: 9, IPv6: 0, 最小延迟: 26 ms, 最高速率: 23.27 MiB/s, 平均速率: 13.56 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV风云足球, 有效: 2, IPv4: 6, IPv6: 0, 最小延迟: 40 ms, 最高速率: 8.24 MiB/s, 平均速率: 7.16 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV高尔夫网球, 有效: 2, IPv4: 5, IPv6: 0, 最小延迟: 98 ms, 最高速率: 2.91 MiB/s, 平均速率: 2.31 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV女性时尚, 有效: 3, IPv4: 9, IPv6: 0, 最小延迟: 37 ms, 最高速率: 12.14 MiB/s, 平均速率: 9.48 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV央视文化精品, 有效: 3, IPv4: 5, IPv6: 0, 最小延迟: 36 ms, 最高速率: 29.18 MiB/s, 平均速率: 16.21 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV央视台球, 有效: 3, IPv4: 5, IPv6: 0, 最小延迟: 36 ms, 最高速率: 10.54 MiB/s, 平均速率: 5.99 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV电视指南, 有效: 1, IPv4: 6, IPv6: 0, 最小延迟: 38 ms, 最高速率: 12.25 MiB/s, 平均速率: 12.25 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV卫生健康, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 37 ms, 最高速率: 12.48 MiB/s, 平均速率: 12.48 MiB/s, 最高分辨率: 1280x720, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: 聚鲨环球精选, 有效: 1, IPv4: 2, IPv6: 0, 最小延迟: 358 ms, 最高速率: 0.38 MiB/s, 平均速率: 0.38 MiB/s, 最高分辨率: 1280x720, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: 央广购物, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: 中国交通, 有效: 0, IPv4: 7, IPv6: 0, 最小延迟: 379 ms, 最高速率: 0.11 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: CHC家庭影院, 有效: 5, IPv4: 10, IPv6: 0, 最小延迟: 26 ms, 最高速率: 29.77 MiB/s, 平均速率: 19.98 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: 环球奇观, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: CHC影迷电影, 有效: 2, IPv4: 5, IPv6: 0, 最小延迟: 37 ms, 最高速率: 10.44 MiB/s, 平均速率: 10.31 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CHC动作电影, 有效: 3, IPv4: 12, IPv6: 0, 最小延迟: 25 ms, 最高速率: 8.27 MiB/s, 平均速率: 5.63 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: 重温经典, 有效: 5, IPv4: 24, IPv6: 0, 最小延迟: 40 ms, 最高速率: 10.91 MiB/s, 平均速率: 4.98 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 35.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: 中央新影-中学生, 有效: 0, IPv4: 15, IPv6: 0, 最小延迟: 177 ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: 中央新影-老故事, 有效: 0, IPv4: 21, IPv6: 0, 最小延迟: 26 ms, 最高速率: 32.62 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 720x576, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: 中央新影-发现之旅, 有效: 1, IPv4: 19, IPv6: 0, 最小延迟: 26 ms, 最高速率: 31.09 MiB/s, 平均速率: 4.20 MiB/s, 最高分辨率: 1280x720, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CETV1, 有效: 4, IPv4: 34, IPv6: 0, 最小延迟: 24 ms, 最高速率: 30.18 MiB/s, 平均速率: 14.00 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CETV2, 有效: 0, IPv4: 22, IPv6: 0, 最小延迟: 25 ms, 最高速率: 19.98 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 720x576, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CETV3, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: 27 ms, 最高速率: 29.48 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 720x576, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CETV4, 有效: 0, IPv4: 21, IPv6: 0, 最小延迟: 25 ms, 最高速率: 24.45 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 720x576, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CETV早期教育, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: 36 ms, 最高速率: 8.66 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 720x576, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: 中国天气, 有效: 0, IPv4: 18, IPv6: 0, 最小延迟: 377 ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: 书画, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: 睛彩竞技, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: 睛彩广场舞, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: 睛彩青少, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: 百姓健康, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
